variant,tp_bin_left,tp_bin_right,rows_v0,rows_variant,hs_p50_v0,hs_p50_variant,hs_p95_v0,hs_p95_variant,hs_p95_delta_vs_v0
fusion_v1_selected_all,12.0,12.5,24,22,0.8791811863928223,0.8791811863928223,1.328730832342094,1.2170383445195034,-0.11169248782259067
fusion_v1_selected_all,12.5,13.0,15,16,0.6060000287834555,0.5858333611589235,0.9980905235972298,0.9786905226757794,-0.019400000921450444
fusion_v1_selected_all,13.0,13.5,5,5,0.5570000264560804,0.5520000262185931,0.6750196399048483,0.674360816344144,-0.0006588235607042359
fusion_v1_selected_all,13.5,14.0,22,21,0.5803333608976875,0.5706666937718788,1.0735381462284186,1.0608571932451534,-0.012680952983265215
fusion_v1_selected_all,14.0,14.5,5,6,1.0373333826040227,1.0230000485898927,1.2490000593243167,1.2460000591818243,-0.003000000142492354
fusion_v1_selected_all,14.5,15.0,18,19,0.7170000340556726,0.7080000336281955,1.1726160204426073,1.1929662553826341,0.020350234940026857
fusion_v1_selected_all,15.0,15.5,8,7,0.5845000277622603,0.45228573576813297,0.6293000298901461,0.6275000298046507,-0.0018000000854954123
fusion_v1_selected_all,15.5,16.0,12,11,0.6061666954580385,0.6130000291159377,0.6992500332125928,0.7065000335569493,0.007250000344356522
fusion_v1_high_confidence,1.5,2.0,304,59,0.12365401123339931,0.05866666945318381,0.20806984211058238,0.20020000950898975,-0.00786983260159263
fusion_v1_high_confidence,2.0,2.5,720,282,0.20898967567417356,0.18920563212088798,0.3274859738018777,0.30443301567574954,-0.023052958126128176
fusion_v1_high_confidence,2.5,3.0,1375,516,0.3199772909283638,0.3005103121201197,0.4816808973163874,0.46213267140168074,-0.019548225914706674
fusion_v1_high_confidence,3.0,3.5,1726,772,0.47665914540023857,0.4797925783528222,0.6684520702110603,0.6455938400537706,-0.022858230157289716
fusion_v1_high_confidence,3.5,4.0,2041,1016,0.6475934866666666,0.6488134908803863,0.8960000425577164,0.8681788444815299,-0.027821198076186437
fusion_v1_high_confidence,4.0,4.5,1917,959,0.8030708795652173,0.8169281408190727,1.0848994320931116,1.0716000508982686,-0.013299381194842974
fusion_v1_high_confidence,4.5,5.0,1466,737,0.8659706371171134,0.8190772056579589,1.2891335075255483,1.2396000588778404,-0.04953344864770792
fusion_v1_high_confidence,5.0,5.5,1133,550,0.8043529793811852,0.8190000389004126,1.465933076550359,1.3994600664707832,-0.06647301007957584
fusion_v1_high_confidence,5.5,6.0,1010,520,0.79650003783172,0.7931667043400619,1.5320000727660954,1.3997667331520154,-0.13223333961408001
fusion_v1_high_confidence,6.0,6.5,750,304,0.8260000392328948,0.89850004267646,1.7363000824698245,1.5522590799395266,-0.18404100253029787
fusion_v1_high_confidence,6.5,7.0,564,222,0.8064541758333332,0.9457000449183397,1.7079250811220845,1.7078056366719665,-0.00011944445011802252
fusion_v1_high_confidence,7.0,7.5,322,170,1.000666714195783,0.9290000441251323,2.0540000975597645,1.9181572339647184,-0.13584286359504616
fusion_v1_high_confidence,7.5,8.0,341,136,0.9255850315093994,0.9973333807041247,1.9953322285714286,1.8858816685219368,-0.10945056004949172
fusion_v1_high_confidence,8.0,8.5,145,39,0.689000032725744,0.71800003410317,1.7502000831300393,1.8412921509487439,0.0910920678187046
fusion_v1_high_confidence,8.5,9.0,78,22,0.8164762292567286,1.2385000588255934,2.2293120591202737,2.1641463714481484,-0.06516568767212538
fusion_v1_high_confidence,9.0,9.5,88,14,0.5811070054409275,0.7135000338894315,1.8132823300361258,1.3960000663064418,-0.417282263729684
fusion_v1_high_confidence,9.5,10.0,90,17,0.662582665681839,0.6340000301133841,1.3010300617956088,1.4766000701347366,0.17557000833912784
fusion_v1_high_confidence,10.0,10.5,166,40,0.6254879618063569,0.8601428979974506,1.3300000631716102,1.461783402764316,0.13178333959270572
fusion_v1_high_confidence,10.5,11.0,73,28,0.8510000404203311,0.9086667098260175,1.4470970347222214,1.201750057080062,-0.2453469776421593
fusion_v1_high_confidence,11.0,11.5,56,14,0.7430000352906063,0.8380000398028642,1.2838400818582159,1.307533395437834,0.023693313579618236
fusion_v1_high_confidence,11.5,12.0,50,16,0.9476667116784181,1.2110000575194135,1.4586000692797818,1.441500068467576,-0.01710000081220575
fusion_v1_excluding_shallow,1.5,2.0,304,100,0.12365401123339931,0.053164055333333335,0.20806984211058238,0.1888497206020272,-0.019220121508555177
fusion_v1_excluding_shallow,2.0,2.5,720,401,0.20898967567417356,0.18294867426156997,0.3274859738018777,0.2980000141542405,-0.029485959647637228
fusion_v1_excluding_shallow,2.5,3.0,1375,893,0.3199772909283638,0.2904837314285715,0.4816808973163874,0.45709064899988117,-0.024590248316506247
fusion_v1_excluding_shallow,3.0,3.5,1726,1403,0.47665914540023857,0.45830041000000005,0.6684520702110603,0.6500000308733433,-0.018452039337716997
fusion_v1_excluding_shallow,3.5,4.0,2041,1749,0.6475934866666666,0.627000029780902,0.8960000425577164,0.8880000421777368,-0.00800000037997961
fusion_v1_excluding_shallow,4.0,4.5,1917,1730,0.8030708795652173,0.7985833712640062,1.0848994320931116,1.0826500514231154,-0.002249380669996137
fusion_v1_excluding_shallow,4.5,5.0,1466,1381,0.8659706371171134,0.85983285,1.2891335075255483,1.2633333933384467,-0.025800114187101597
fusion_v1_excluding_shallow,5.0,5.5,1133,1032,0.8043529793811852,0.8236648158189499,1.465933076550359,1.470460069843102,0.004526993292742976
fusion_v1_excluding_shallow,5.5,6.0,1010,924,0.79650003783172,0.8059759118283789,1.5320000727660954,1.5625372524073327,0.030537179641237255
fusion_v1_excluding_shallow,6.0,6.5,750,669,0.8260000392328948,0.8610000408953056,1.7363000824698245,1.7452000828925522,0.00890000042272776
fusion_v1_excluding_shallow,6.5,7.0,564,505,0.8064541758333332,0.8360000397078693,1.7079250811220845,1.7358972253078326,0.027972144185748116
fusion_v1_excluding_shallow,7.0,7.5,322,306,1.000666714195783,1.0046667143857726,2.0540000975597645,2.058750097785378,0.004750000225613338
fusion_v1_excluding_shallow,7.5,8.0,341,308,0.9255850315093994,0.9767960900000001,1.9953322285714286,2.028683429690621,0.03335120111919232
fusion_v1_excluding_shallow,8.0,8.5,145,131,0.689000032725744,0.7060000335332006,1.7502000831300393,1.8389518306524093,0.08875174752237003
fusion_v1_excluding_shallow,8.5,9.0,78,68,0.8164762292567286,0.7793333703496803,2.2293120591202737,2.300385239941533,0.07107318082125946
fusion_v1_excluding_shallow,9.0,9.5,88,79,0.5811070054409275,0.5822139833333334,1.8132823300361258,1.9112977975,0.09801546746387424
fusion_v1_excluding_shallow,9.5,10.0,90,72,0.662582665681839,0.6444238608237356,1.3010300617956088,1.3612300646549558,0.06020000285934701
fusion_v1_excluding_shallow,10.0,10.5,166,118,0.6254879618063569,0.7006666999465476,1.3300000631716102,1.2600591930851806,-0.06994087008642969
fusion_v1_excluding_shallow,10.5,11.0,73,70,0.8510000404203311,0.8670000411802903,1.4470970347222214,1.4634739399305554,0.016376905208334014
fusion_v1_excluding_shallow,11.0,11.5,56,49,0.7430000352906063,0.7520000357180834,1.2838400818582159,1.326678323883401,0.04283824202518516
fusion_v1_excluding_shallow,11.5,12.0,50,42,0.9476667116784181,0.9490000450750813,1.4586000692797818,1.3285750631039261,-0.13002500617585566
fusion_v1_excluding_shallow,12.0,12.5,24,21,0.8791811863928223,0.9006547927856445,1.328730832342094,1.2179231347713189,-0.11080769757077524
fusion_v1_excluding_shallow,12.5,13.0,15,14,0.6060000287834555,0.6445432047479587,0.9980905235972298,0.9963889362148216,-0.0017015873824082206
fusion_v1_excluding_shallow,13.0,13.5,5,5,0.5570000264560804,0.5520000262185931,0.6750196399048483,0.674360816344144,-0.0006588235607042359
fusion_v1_excluding_shallow,13.5,14.0,22,18,0.5803333608976875,0.575833360683949,1.0735381462284186,1.0740143367272268,0.0004761904988082044
fusion_v1_excluding_shallow,14.5,15.0,18,18,0.7170000340556726,0.6972500331175979,1.1726160204426073,1.203782688589611,0.03116666814700375
fusion_v1_excluding_shallow,15.0,15.5,8,7,0.5845000277622603,0.45228573576813297,0.6293000298901461,0.6275000298046507,-0.0018000000854954123
fusion_v1_excluding_shallow,15.5,16.0,12,9,0.6061666954580385,0.5973333617051443,0.6992500332125928,0.7122000338276848,0.012950000615091994
