asset_id,wind_speed_mid,power_norm,samples
2,4.0,0.039398531497797346,1816.0
2,4.5,0.06144516034408601,2325.0
2,5.0,0.09261905794176996,3469.0
2,5.5,0.13358194451273045,3417.0
2,6.0,0.18848499654754694,3302.0
2,6.5,0.2521874030223772,3441.0
2,7.0,0.32553306668566545,3509.0
2,7.5,0.41098060781990525,3376.0
2,8.0,0.5067848572402044,2935.0
2,8.5,0.6244386683456025,2581.0
2,9.0,0.7258469971098266,2076.0
2,9.5,0.8149341371882087,1764.0
2,10.0,0.8837872461340206,1552.0
2,10.5,0.9125443672391016,1514.0
2,11.0,0.9071925714285715,1365.0
2,11.5,0.8866760228198859,1227.0
2,12.0,0.8744547627118644,1180.0
2,12.5,0.8708621784232364,964.0
2,13.0,0.8583879646017699,904.0
2,13.5,0.8508790551181101,762.0
2,14.0,0.822254046920821,682.0
2,14.5,0.8243280330578512,605.0
2,15.0,0.8148088194444445,576.0
2,15.5,0.8007709626719057,509.0
2,16.0,0.7642426525423729,472.0
2,16.5,0.7782034433962264,424.0
2,17.0,0.7735263190184049,326.0
2,17.5,0.7694560714285714,280.0
2,18.0,0.7889158333333334,240.0
2,18.5,0.7875354368932039,206.0
2,19.0,0.831631719745223,157.0
2,19.5,0.8275853987730062,163.0
2,20.0,0.8512101449275362,138.0
2,20.5,0.845844551724138,116.0
2,21.0,0.8350505571428571,140.0
2,21.5,0.7718814086956521,115.0
2,22.0,0.7476483076923077,78.0
2,22.5,0.6159460952380952,42.0
5,4.0,0.041152100620567365,2256.0
5,4.5,0.06270262597296189,2441.0
5,5.0,0.09258617659033078,3537.0
5,5.5,0.13080712041884815,3820.0
5,6.0,0.184558171182266,3248.0
5,6.5,0.2464368719130721,3037.0
5,7.0,0.31572552255639097,2660.0
5,7.5,0.3913738279090504,2243.0
5,8.0,0.47018297043141055,2063.0
5,8.5,0.537521274824356,1708.0
5,9.0,0.5993068204161248,1538.0
5,9.5,0.6446860743859649,1425.0
5,10.0,0.6457126909382518,1247.0
5,10.5,0.6618296492944497,1063.0
5,11.0,0.6409992633911369,1038.0
5,11.5,0.6361911751091703,916.0
5,12.0,0.6031381522533495,821.0
5,12.5,0.5745926417834395,785.0
5,13.0,0.5651920934362934,777.0
5,13.5,0.5514157033647376,743.0
5,14.0,0.5588482022792023,702.0
5,14.5,0.5316910099502488,603.0
5,15.0,0.539528336,525.0
5,15.5,0.537733470046083,434.0
5,16.0,0.5087412118483412,422.0
5,16.5,0.5038999350282486,354.0
5,17.0,0.5214611449704142,338.0
5,17.5,0.5313920424908425,273.0
5,18.0,0.5608513143884892,278.0
5,18.5,0.5323781542288557,201.0
5,19.0,0.5234301834482759,145.0
5,19.5,0.46112136393442626,122.0
5,20.0,0.4564915128712871,101.0
5,20.5,0.48124546153846154,91.0
5,21.0,0.5341338757575758,66.0
5,21.5,0.43445117619047613,42.0
5,22.5,0.13371166666666667,30.0
5,23.0,0.05958387096774193,31.0
12,4.0,0.043583591036197286,3352.0
12,4.5,0.06510542633911366,3806.0
12,5.0,0.09315278904144603,5477.0
12,5.5,0.12624300878169628,6862.0
12,6.0,0.17862969670787876,5500.0
12,6.5,0.23418881709025413,4997.0
12,7.0,0.2967267215650361,4477.0
12,7.5,0.36293714476415506,3809.0
12,8.0,0.4297944165952192,3779.0
12,8.5,0.48843445186069073,3436.0
12,9.0,0.5385156836912605,3036.0
12,9.5,0.5681703960347322,2764.0
12,10.0,0.5931906978358406,2526.0
12,10.5,0.6044228021766169,2144.0
12,11.0,0.6275160206897777,1875.0
12,11.5,0.6215724374789272,1740.0
12,12.0,0.5972615423763179,1644.0
12,12.5,0.5748262044592265,1353.0
12,13.0,0.5664218214759411,1337.0
12,13.5,0.5473308706733445,1198.0
12,14.0,0.547466668422939,1116.0
12,14.5,0.5415958132997312,992.0
12,15.0,0.5234278583521444,886.0
12,15.5,0.5214939015006821,733.0
12,16.0,0.5026138547687862,692.0
12,16.5,0.4931587515362319,575.0
12,17.0,0.46222565555555556,447.0
12,17.5,0.4821821938383838,330.0
12,18.0,0.48285899600000004,300.0
12,18.5,0.481219466064982,277.0
12,19.0,0.45738677016574586,181.0
12,19.5,0.4689575930232558,129.0
12,20.0,0.4074326125412541,101.0
12,20.5,0.3699935213333333,100.0
12,21.0,0.32302535625,64.0
12,21.5,0.3354772095238095,42.0
12,22.0,0.2901164,30.0
13,4.0,0.04060118758314854,1804.0
13,4.5,0.06009871689497716,1971.0
13,5.0,0.08944418647100928,2794.0
13,5.5,0.1295592368501064,3289.0
13,6.0,0.18433205892653215,2627.0
13,6.5,0.24674679838709676,2232.0
13,7.0,0.3154791629032258,2108.0
13,7.5,0.38936998929336186,1868.0
13,8.0,0.4670129915682968,1779.0
13,8.5,0.5344195775978408,1482.0
13,9.0,0.5834923938761308,1437.0
13,9.5,0.6087145230371009,1159.0
13,10.0,0.6363889372137405,1048.0
13,10.5,0.6612052225287356,870.0
13,11.0,0.6436530859999999,900.0
13,11.5,0.6221670729665072,836.0
13,12.0,0.6129076724367509,751.0
13,12.5,0.5953981470588235,714.0
13,13.0,0.5751317911047346,697.0
13,13.5,0.580067547181009,674.0
13,14.0,0.5647666365079365,630.0
13,14.5,0.5517418107913669,556.0
13,15.0,0.5414728385093168,483.0
13,15.5,0.5507821548387096,403.0
13,16.0,0.5444231647959183,392.0
13,16.5,0.5376080320441989,362.0
13,17.0,0.532157276969697,330.0
13,17.5,0.5453274863945579,294.0
13,18.0,0.5072521550387598,258.0
13,18.5,0.5291496031128404,257.0
13,19.0,0.518227193220339,177.0
13,19.5,0.49139888000000004,125.0
13,20.0,0.40655296382978723,94.0
13,20.5,0.3928090717391304,92.0
13,21.0,0.43871431830985913,71.0
13,21.5,0.23504565909090908,44.0
13,22.0,0.12102089230769231,39.0
13,22.5,0.04544576709677419,31.0
14,4.0,0.04116067389558232,1245.0
14,4.5,0.06248483182100682,1609.0
14,5.0,0.09141719437048305,2629.0
14,5.5,0.13100740568654645,2884.0
14,6.0,0.18242967659402742,2478.0
14,6.5,0.23931577325734324,2281.0
14,7.0,0.3011473307257714,2301.0
14,7.5,0.3720962649602824,2266.0
14,8.0,0.44752977808988764,2136.0
14,8.5,0.5271098512843624,2219.0
14,9.0,0.6015226177594218,1937.0
14,9.5,0.6514547157894737,1577.0
14,10.0,0.6817976900129702,1542.0
14,10.5,0.7128030594672427,1389.0
14,11.0,0.6984557893220339,1180.0
14,11.5,0.6627003008298755,964.0
14,12.0,0.633798659574468,987.0
14,12.5,0.6033492904656319,902.0
14,13.0,0.5792672392523365,856.0
14,13.5,0.5585389263982102,894.0
14,14.0,0.5293674151866151,777.0
14,14.5,0.5459557304677624,791.0
14,15.0,0.5335067320652174,736.0
14,15.5,0.5247134380952381,609.0
14,16.0,0.5236085470020121,497.0
14,16.5,0.5275432260204082,392.0
14,17.0,0.5184711889544236,373.0
14,17.5,0.4968774604142012,338.0
14,18.0,0.4979976976699029,309.0
14,18.5,0.45997159495652173,230.0
14,19.0,0.4829575176315789,228.0
14,19.5,0.4505272271038251,183.0
14,20.0,0.4328295671641791,134.0
14,20.5,0.41531113823529414,102.0
14,21.0,0.29913612417910446,67.0
14,21.5,0.22378738360655737,61.0
14,22.0,0.1720500625,32.0
14,22.5,0.0152043298245614,57.0
14,23.0,0.026443849999999998,40.0
14,23.5,0.0,33.0
15,4.0,0.06107461239406779,1888.0
15,4.5,0.09123986125589369,2333.0
15,5.0,0.12134236875037102,3369.0
15,5.5,0.16472104515877145,3842.0
15,6.0,0.2255438941610008,3677.0
15,6.5,0.2790015330301455,3848.0
15,7.0,0.34395430318540704,3673.0
15,7.5,0.4019592986284669,3281.0
15,8.0,0.45836325375822656,2887.0
15,8.5,0.514402693427036,2419.0
15,9.0,0.5652357510366123,2267.0
15,9.5,0.6145457737204725,2032.0
15,10.0,0.6335875966486486,1850.0
15,10.5,0.6592954323634205,1684.0
15,11.0,0.6403630421359223,1545.0
15,11.5,0.6506988944592791,1498.0
15,12.0,0.6602602423473434,1261.0
15,12.5,0.6746525027671756,1048.0
15,13.0,0.6821832356968215,818.0
15,13.5,0.6959223764612954,633.0
15,14.0,0.6889221882042253,568.0
15,14.5,0.6896555489711934,486.0
15,15.0,0.6586392287564766,386.0
15,15.5,0.6191086010309278,291.0
15,16.0,0.620545176068376,234.0
15,16.5,0.6003358187845304,181.0
15,17.0,0.6134694502890173,173.0
15,17.5,0.5703242919075144,173.0
15,18.0,0.5808288097902098,143.0
15,18.5,0.5821488516666666,120.0
15,19.0,0.5471183975609757,82.0
15,19.5,0.5708951216216217,37.0
15,20.0,0.5418550121212121,33.0
15,20.5,0.6516271266666667,30.0
16,4.0,0.05225439121109048,3234.0
16,4.5,0.07913224939345427,3748.0
16,5.0,0.11047368055206697,5096.0
16,5.5,0.1546910878654766,5714.0
16,6.0,0.2128847161580915,5617.0
16,6.5,0.27150030261829455,5375.0
16,7.0,0.3367495892774356,5033.0
16,7.5,0.39826629747141223,4664.0
16,8.0,0.4657335119546114,3907.0
16,8.5,0.5358974193599212,3385.0
16,9.0,0.6134882650740987,3014.0
16,9.5,0.6665133325214153,2685.0
16,10.0,0.710343265941043,2499.0
16,10.5,0.7332252572002296,2324.0
16,11.0,0.7310511532902232,2165.0
16,11.5,0.7273862370350008,1819.0
16,12.0,0.7084781194502996,1613.0
16,12.5,0.6848438540025158,1325.0
16,13.0,0.6886777502475532,1158.0
16,13.5,0.6970317759959556,989.0
