month,candidate,lat,lon,scada_column,year_shift,overlap_hours,pearson_r,rank
2022-01-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,624,0.9591605790993878,1.0
2022-01-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,624,0.9589936437615969,2.0
2022-01-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,624,0.9586702841011174,3.0
2022-01-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,624,0.9586702841011174,4.0
2022-01-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,624,0.9576469563015082,5.0
2022-01-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,624,0.9563633978802433,6.0
2022-02-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,672,0.9318162550808701,1.0
2022-02-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,672,0.9318162550808701,2.0
2022-02-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,672,0.9310913225451668,3.0
2022-02-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,672,0.9251720538596747,4.0
2022-02-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,672,0.9251297414512865,5.0
2022-02-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,672,0.9241617822839506,6.0
2022-02-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,672,0.9225824426542475,7.0
2022-02-01,Riffgat,53.69,6.48,wind_speed_236_avg,0,672,0.9186527747972614,8.0
2022-02-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,672,0.9154250944482568,9.0
2022-02-01,Deutsche Bucht,54.3,5.79,wind_speed_236_avg,0,672,0.9116812816655471,10.0
2022-02-01,Veja Mate,54.32,5.87,wind_speed_236_avg,0,672,0.9104200818893406,11.0
2022-02-01,Bard Offshore 1,54.36,5.98,wind_speed_236_avg,0,672,0.908054148180573,12.0
2022-02-01,Gode Wind 3,54.04,7.1,wind_speed_236_avg,0,672,0.9077296904743407,13.0
2022-02-01,EnBW Hohe See,54.44,6.33,wind_speed_236_avg,0,672,0.9068765211157651,14.0
2022-02-01,Albatros,54.49,6.24,wind_speed_236_avg,0,672,0.9057830215883083,15.0
2022-02-01,Global Tech I,54.51,6.36,wind_speed_236_avg,0,672,0.9036970993836752,16.0
2022-02-01,Nordsee Ost,54.44,7.68,wind_speed_236_avg,0,672,0.8556779873839211,17.0
2022-02-01,Kaskasi,54.49,7.69,wind_speed_236_avg,0,672,0.8549956550777617,18.0
2022-02-01,Meerwind Sued/Ost,54.39,7.7,wind_speed_236_avg,0,672,0.852923383597069,19.0
2022-02-01,Amrumbank West,54.52,7.71,wind_speed_236_avg,0,672,0.8518784134142784,20.0
2022-02-01,Nordergründe,53.84,8.17,wind_speed_236_avg,0,672,0.8102721179372327,21.0
2022-02-01,Sandbank,55.2,6.85,wind_speed_236_avg,0,672,0.7844491104324787,22.0
2022-02-01,Dan Tysk,55.14,7.2,wind_speed_236_avg,0,672,0.7705690818497267,23.0
2022-02-01,Butendiek,55.02,7.77,wind_speed_236_avg,0,672,0.7704407501755403,24.0
2022-02-01,EnBW Windpark Baltic 2,54.98,13.16,wind_speed_236_avg,0,672,0.6236460928242279,25.0
2022-02-01,EnBW Windpark Baltic 1,54.61,12.65,wind_speed_236_avg,0,672,0.6217063654041368,26.0
2022-02-01,Arcadis Ost 1,54.82,13.66,wind_speed_236_avg,0,672,0.5726466772370244,27.0
2022-02-01,Baltic Eagle,54.83,13.86,wind_speed_236_avg,0,672,0.5592704207481722,28.0
2022-02-01,Wikinger,54.84,14.07,wind_speed_236_avg,0,672,0.5492503092427824,29.0
2022-02-01,Arkona-Becken Südost,54.78,14.12,wind_speed_236_avg,0,672,0.5435715795368362,30.0
2022-03-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.9321022088851079,1.0
2022-03-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.9316462384909798,2.0
2022-03-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.9315394594175069,3.0
2022-03-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.9306664080907313,4.0
2022-03-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.9299050208165677,5.0
2022-03-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.9299050208165677,6.0
2022-03-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,744,0.9279530676640396,7.0
2022-03-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,744,0.9201220469733639,8.0
2022-04-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.8979629810106267,1.0
2022-04-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.8945786932663614,2.0
2022-04-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.8886745655109286,3.0
2022-04-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,720,0.8881321918832517,4.0
2022-04-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.8852014981068077,5.0
2022-04-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.8840320986106471,6.0
2022-04-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.8840320986106471,7.0
2022-04-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,720,0.8807553415050305,8.0
2022-05-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.875964300618659,1.0
2022-05-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.875964300618659,2.0
2022-05-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.8754178266747901,3.0
2022-05-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.8752748241046173,4.0
2022-05-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.8741676752180614,5.0
2022-05-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.8735552533777591,6.0
2022-05-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,744,0.8700165095156023,7.0
2022-05-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,744,0.8616210325009162,8.0
2022-06-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,720,0.7794652712454457,1.0
2022-06-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,720,0.7791807320278785,2.0
2022-06-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,720,0.7791807320278785,3.0
2022-06-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,720,0.7769313890777615,4.0
2022-06-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,720,0.7758460849349924,5.0
2022-06-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,720,0.7757396999754133,6.0
2022-06-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,720,0.7723613756332603,7.0
2022-06-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,720,0.7643963657800806,8.0
2022-07-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,744,0.761793752849307,1.0
2022-07-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,744,0.7601176631943801,2.0
2022-07-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.7564283807843636,3.0
2022-07-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.7557613653526891,4.0
2022-07-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.7531247774864664,5.0
2022-07-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.7531247774864664,6.0
2022-07-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.7529441103880274,7.0
2022-07-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.7493737318321534,8.0
2022-08-01,Borkum Riffgrund 2,53.95,6.5,wind_speed_236_avg,0,744,0.26629865534440555,1.0
2022-08-01,Borkum Riffgrund 1,53.97,6.55,wind_speed_236_avg,0,744,0.25960471532398893,2.0
2022-08-01,Alpha Ventus,54.01,6.61,wind_speed_236_avg,0,744,0.25337732510868105,3.0
2022-08-01,Merkur Offshore,54.04,6.56,wind_speed_236_avg,0,744,0.2506230102180437,4.0
2022-08-01,Trianel Windpark Borkum 1,54.05,6.46,wind_speed_236_avg,0,744,0.24542092282577876,5.0
2022-08-01,Trianel Windpark Borkum 2,54.05,6.47,wind_speed_236_avg,0,744,0.24542092282577876,6.0
2022-08-01,Nordsee One,53.98,6.82,wind_speed_236_avg,0,744,0.2354087683852094,7.0
2022-08-01,Gode Wind 1 and 2,54.04,6.99,wind_speed_236_avg,0,744,0.20295979744602485,8.0
