scada_column,lag_hours,overlap_hours,pearson_r,lag_days,rank
wind_speed_236_avg,0,17584,0.560588309452919,0.0,1
wind_speed_236_avg,-1,17584,0.5603227928964338,-0.041666666666666664,2
wind_speed_236_avg,1,17584,0.5540503816039982,0.041666666666666664,3
wind_speed_236_avg,-2,17584,0.5523711940461105,-0.08333333333333333,4
wind_speed_236_avg,2,17584,0.544363132816341,0.08333333333333333,5
wind_speed_236_avg,-3,17584,0.5406334441946155,-0.125,6
wind_speed_236_avg,26303,17584,0.5329984543533609,1095.9583333333333,7
wind_speed_236_avg,3,17584,0.5325936873346963,0.125,8
wind_speed_236_avg,26302,17584,0.5306465679598553,1095.9166666666667,9
wind_speed_236_avg,26304,17584,0.528103995317185,1096.0,10
wind_speed_236_avg,-4,17584,0.5270640475078062,-0.16666666666666666,11
wind_speed_236_avg,26301,17584,0.5224185177388916,1095.875,12
wind_speed_236_avg,56364,1428,0.5211774054713857,2348.5,13
wind_speed_236_avg,56363,1427,0.5208351192641126,2348.4583333333335,14
wind_speed_236_avg,56365,1429,0.5198760084025414,2348.5416666666665,15
wind_speed_236_avg,4,17584,0.5198332454771956,0.16666666666666666,16
wind_speed_236_avg,26305,17584,0.5181477331646491,1096.0416666666667,17
wind_speed_236_avg,56362,1426,0.5176222686636921,2348.4166666666665,18
wind_speed_236_avg,56366,1430,0.516526436062842,2348.5833333333335,19
wind_speed_236_avg,56361,1425,0.5132607407313068,2348.375,20
wind_speed_236_avg,-5,17584,0.5132415173298307,-0.20833333333333334,21
wind_speed_236_avg,56367,1431,0.5129429930358383,2348.625,22
wind_speed_236_avg,26300,17584,0.5112676707283704,1095.8333333333333,23
wind_speed_236_avg,56368,1432,0.5091212039635034,2348.6666666666665,24
wind_speed_236_avg,56360,1424,0.5075640239912476,2348.3333333333335,25
wind_speed_236_avg,5,17584,0.5063344670466193,0.20833333333333334,26
wind_speed_236_avg,26306,17584,0.5057864478776588,1096.0833333333333,27
wind_speed_236_avg,56369,1433,0.5048973305783847,2348.7083333333335,28
wind_speed_236_avg,-6,17584,0.4996978850114374,-0.25,29
wind_speed_236_avg,56359,1423,0.49910553830728815,2348.2916666666665,30
wind_speed_236_avg,26299,17584,0.49830267058917405,1095.7916666666667,31
wind_speed_236_avg,56370,1434,0.49647378278468557,2348.75,32
wind_speed_236_avg,6,17584,0.4931166237480595,0.25,33
wind_speed_236_avg,26307,17584,0.4915211136442944,1096.125,34
wind_speed_236_avg,8760,17584,0.48778772892016714,365.0,35
wind_speed_236_avg,56358,1422,0.4875725652325396,2348.25,36
wind_speed_236_avg,8759,17584,0.4873662238150395,364.9583333333333,37
wind_speed_236_avg,-7,17584,0.4865079745153688,-0.2916666666666667,38
wind_speed_236_avg,56371,1435,0.4855202303690083,2348.7916666666665,39
wind_speed_236_avg,26298,17584,0.4844666710839825,1095.75,40
wind_speed_236_avg,8761,17584,0.4840846285264463,365.0416666666667,41
wind_speed_236_avg,8758,17584,0.48170722004233213,364.9166666666667,42
wind_speed_236_avg,-26841,759,0.48057655897686685,-1118.375,43
wind_speed_236_avg,7,17584,0.480189240647056,0.2916666666666667,44
wind_speed_236_avg,-26840,760,0.4795807364391316,-1118.3333333333333,45
wind_speed_236_avg,-26842,758,0.47954971818601794,-1118.4166666666667,46
wind_speed_236_avg,8762,17584,0.478579515147985,365.0833333333333,47
wind_speed_236_avg,-26839,761,0.4782046448145333,-1118.2916666666667,48
wind_speed_236_avg,56357,1421,0.4768200880810648,2348.2083333333335,49
wind_speed_236_avg,-26843,757,0.4767743104501134,-1118.4583333333333,50
wind_speed_236_avg,-26838,762,0.4761925598598562,-1118.25,51
wind_speed_236_avg,26308,17584,0.4760134536068889,1096.1666666666667,52
wind_speed_236_avg,-8,17584,0.47329847149189647,-0.3333333333333333,53
wind_speed_236_avg,8757,17584,0.47306840143768203,364.875,54
wind_speed_236_avg,-26844,756,0.47225812189890914,-1118.5,55
wind_speed_236_avg,-26837,763,0.47137957561962923,-1118.2083333333333,56
wind_speed_236_avg,56372,1436,0.47116376220842493,2348.8333333333335,57
wind_speed_236_avg,8763,17584,0.47098215658154513,365.125,58
wind_speed_236_avg,26297,17584,0.4703209705629417,1095.7083333333333,59
wind_speed_236_avg,8,17584,0.46773498785781253,0.3333333333333333,60
wind_speed_236_avg,-26836,764,0.4667688849514229,-1118.1666666666667,61
wind_speed_236_avg,-26845,755,0.465657537110654,-1118.5416666666667,62
wind_speed_236_avg,56356,1420,0.4653522769056351,2348.1666666666665,63
wind_speed_236_avg,8756,17584,0.46233721536170236,364.8333333333333,64
wind_speed_236_avg,8764,17584,0.46203348419952484,365.1666666666667,65
wind_speed_236_avg,-9,17584,0.4604129709732773,-0.375,66
wind_speed_236_avg,26309,17584,0.4599484034458477,1096.2083333333333,67
wind_speed_236_avg,-26835,765,0.45949943124985027,-1118.125,68
wind_speed_236_avg,-26846,754,0.456592688309076,-1118.5833333333333,69
wind_speed_236_avg,56373,1437,0.45589288855442844,2348.875,70
wind_speed_236_avg,9,17584,0.45587427981780193,0.375,71
wind_speed_236_avg,26296,17584,0.4558355982025344,1095.6666666666667,72
wind_speed_236_avg,8765,17584,0.45279341877212304,365.2083333333333,73
wind_speed_236_avg,56355,1419,0.4527460968811793,2348.125,74
wind_speed_236_avg,8755,17584,0.45046758576190365,364.7916666666667,75
wind_speed_236_avg,-26834,766,0.449302833962027,-1118.0833333333333,76
wind_speed_236_avg,-10,17584,0.4484657781202141,-0.4166666666666667,77
wind_speed_236_avg,-26847,753,0.44773745464841064,-1118.625,78
wind_speed_236_avg,26310,17584,0.4441019070728699,1096.25,79
wind_speed_236_avg,10,17584,0.44382853732818195,0.4166666666666667,80
wind_speed_236_avg,8766,17584,0.4436515377862135,365.25,81
wind_speed_236_avg,26295,17584,0.44127249586752115,1095.625,82
wind_speed_236_avg,56374,1438,0.44081271568962943,2348.9166666666665,83
wind_speed_236_avg,56354,1418,0.4398228471246156,2348.0833333333335,84
wind_speed_236_avg,8754,17584,0.43877346799280414,364.75,85
wind_speed_236_avg,-26833,767,0.43812952874757183,-1118.0416666666667,86
